,conteudo,acordao,dia
0, acórdão 176 processo 257091 tceacre relator conselheiro marciliano reis fleming voto vencedor conselheiro isnard bastos barbosa leite assunto contratos de prestação de serviços firmados en tre a secretaria de transportes e obras públicas e as firmas azevedo auditores associados e f m barroso contrato de prestação de serviços túcnicos entre a secretaria de transportes e obras públicas e as firmas azevedo auditores associados e f m barroso objetivando a execução de serviços tecnicos especializados considerados irregulares os contratos de 201 e 0790 vistos relatados e discutidos os autos do processo 257091 acima indicado acordamos membros do por maioria acolher o voto vencedor do conselheiro isnard bastos barbosa leite para considerar irregulares contratos de 201 e 0790 em análise firmados na gestão do engenheiro civil ricardo fileira eluan então secretario de estado de transportes e obras públicas comuncandose esta decisão aos chefes dos poderes executivo e le oamuivos respectivamente vencido o conselheiro relator acompanhado do conselheiro alcides dutra de lima que votaram pela notificação do titular da secretaria para sanar as irregularidades cumpridas as exigencias do decretolei 2230086 e da lei 2432064 o conselheiro helio saraiva de freitas votou no sentido de considerar nulos os contratos por descumprimento das formalidades legais e pela notificação dos responsáveis para no prazo de trinta 30 dias devolver aos cofres públicos os recursos indevidamente pagos corrigidos concedido igual prazo para defesa querendo sala das sessões do tribunal de contas do rio branco 02/04/1992 cons josé euge o de leão braga p re si clente ,176,02/04/1992
1, acórdão 7556 natureza do processo 12906200901 tce processo 12902200960 tce apensoassunto prestação de contas da prefeitura municipal de rodriguesalves exercício de 2008 responsável senhor francisco vagner de santana amorimrelator conselheiro josé augusto araújo de fariaprestação de contas prefeitura municipal condenação devoluçãoaplicação de multa encaminhamento de cópia do apurado ao ministériopúblico estadual cientificação aos conselhos municipais de educação esaúde arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator 1 condenar o gestora devolver aos cofres da municipalidade a importância de r 264957735 doismilhões seiscentos e quarenta e nove mil quinhentos e setenta e sete reais e trintae cinco centavos correspondente à diferença do saldo que se transfere para oexercício seguinte demonstrado na conta movimento e não confirmada pelosextratos bancários no final do exercício 2 aplicar multa ao gestor a de 10 dezpor cento sobre o valor a ser devolvido em face das graves infringências à normalegal e atos de gestão ilegítimos elencados no relatório técnico art 89 incisos ii eiii da lce 3893 e bde r 71400 setecentos e quatorze reais em face daintempestividade na entrega das contas e descumprimento do que estabelece o art231 da constituição estadual 3 encaminhar cópia do apurado ao ministériopúblico estadual para as providências que entender adotar em face da ocorrêncianoticiada no item 171 do relatório técnico e do que consta nos arts 359 b 359 c e359 f todos do código penal 4 cientificar aos conselhos municipais deeducação esaúde do município de rodrigues alves do resultado da análisetécnica acerca dos valores aplicados após as formalidades de estilo peloarquivamento do processo ausentes justificadamente os excelentíssimossenhores conselheiros antônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro josé augusto araújo de faria relatorfui presente ,7556,02/02/2012
2, acórdão 7557 natureza do processo 14779201140 tceassunto prestação de contas da câmara municipal deepitaciolândia exercício de 2010 responsável senhor daniel dorzila de oliveirarelator conselheiro josé augusto araújo de fariaprestação de contas câmara municipal regularidade arquivamento doprocessovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regular aprestação de contas em epígrafe de responsabilidade do senhor daniel dorzilade oliveira presidente com fulcro no inciso i do art 51 da lce 3893 após asformalidades de estilo pelo arquivamento do processo ausentes justificadamente os excelentíssimos senhores conselheiros antônio jorge malheiro e antoniocristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro josé augusto araújo de fariarelatorfui presentejoão izidro de melo netoprocuradorchefe do mpetceacre,7557,02/02/2012
3, acórdão 7560 natureza do processo 14884201101 tce c02 anexosassunto prestação de contas da empresa municipal de urbanizaçãode rio branco exercício de 2010 responsável senhor gildo césar rocha pinto e senhora maria das doresaraújo sousarelator conselheiro valmir gomes ribeiroprestação de contas empresa municipal de urbanização erros deprocedimento nas contratações emergenciais índices econômicos efinanceiros desfavoráveis aumento do prejuízo acumulado nãoencaminhamento dos demonstrativos das obras contratadas regularidadecom ressalva arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade dospresidentes à época senhor gildo césar rocha período de 01012010 a08072010 e senhora maria das dores araújo sousa período de 09072010 a31122010 com fulcro no inciso ii do art 51 da lei complementar estadual n3893 valendo como ressalva aos erros de procedimento nas contrataçõesemergenciais b os índices econômicos e financeiros desfavoráveis c o aumentodo prejuízo acumulado e do não encaminhamento dos demonstrativos das obrascontratadas após as formalidades de estilo pelo arquivamento do processoausentes justificadamente os excelentíssimos senhores conselheiros antôniojorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro valmir gomes ribeirorelatorfui presentejoão izidro de melo neto,7560,02/02/2012
4, acórdão 7564 natureza do processo 14626201150 tceassunto relatório de gestão fiscal da prefeitura municipal desenador guiomard relativo ao 2 semestre de 2010 responsável senhor james pereira da silvarelator conselheiro valmir gomes ribeirorelatório de gestão fiscal prefeitura municipal alerta com fulcro no incisoii do 1 do art 59 da lrf notificação abertura de processo em autosseparados para apurar a responsabilidade do gestor apensamento destesautos à prestação de contas do exercício de 2010 vistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto do conselheirorelator 1 alertar o senhorjames pereira da silva prefeito com fulcro no inciso ii do 1 do art 59 dalrf para que sejam observadas e cumpridas todas as vedações constantes nosincisos i a v do parágrafo único do art 22 do mesmo diploma legal 2 notificar ogestor para que tome ciência das inconsistências apontadas no relatório técnico fls1517 e que nas próximas edições da espécie faça cumprir as normas da portariastn 2492010 sob pena de responsabilidade 3 autuar processo em autosapartados para fins de apuração da responsabilidade do senhor james pereira dasilva prefeito em face não comprovação da publicação da matéria nos termos doart 5 inciso i e 2 da lei 100282000 e 4 apensar estes autos à prestação decontas do exercício de 2010 processo 14814201160 tendo em vista ainconsistência dos dados noticiados pela 2 inspetoria ausentes justificadamente os excelentíssimos senhores conselheiros antônio jorge malheiro e antoniocristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheiro valmir gomes ribeirorelator,7564,02/02/2012
5, acórdão 7567 natureza do processo 13933201040 tceassunto prestação de contas da controladoria geral do estado doacre exercício de 2009 responsável senhora flora valladares coelhorelatora conselheira dulcinéa benício de araújoprestação de contas controladoria geral do estado do acre erro formal decontabilização dos restos a pagar de 2008 e 2009 não encaminhamento daportaria do contador ausência de assinatura da gerência setorial depatrimônio no inventário de bens móveis regularidade com ressalvaarquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade da senhoraflora valladares coelho controladora geral à época com fulcro no inciso ii doart 51 da lei complementar estadual 3893 valendo como ressalvas ao erroformal de contabilização dos restos a pagar de 2008 r 372500 e 2009 r103500 o qual resultou na divergência no valor de r 269000 dois mil seiscentos e noventa reais entre a conta aquisição de bens móveis constante nademonstração das variações patrimoniais e o elemento de despesa 4905200 equipamentos e material permanente bo não encaminhamento da portaria docontador e c a ausência de assinatura da gerência setorial de patrimônio noinventário de bens móveis após as formalidades de estilo pelo arquivamento doprocesso ausentes justificadamente os excelentíssimos senhores conselheirosantônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira dulcinéa benício de araújorelatorafui presente,7567,02/02/2012
6, acórdão 7569 natureza do processo 12850200990 tceassunto prestação de contas da câmara municipal de brasiléia exercício de 2008 responsável senhor raimundo lacerda da silvarelatora conselheira dulcinéa benício de araújoprestação de contas câmara municipal não escrituração da contaalmoxarifado no demonstrativo das variações patrimoniais divergência novalor do ativo real líquido encontrado no balanço patrimonial e nademonstração das variações patrimoniais ausência de informações noinventário analítico dos bens móveis e imóveis do município regularidadecom ressalva arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora considerar regularcom ressalvas a prestação de contas em epígrafe de responsabilidade do senhorraimundo lacerda da silva presidente à época com fulcro no inciso ii do art 51 da lei complementar estadual 3893 valendo como ressalvas aa nãoescrituração da conta almoxarifado no valor de r 10000000 cem mil reais nodemonstrativo das variações patrimoniais b a divergência no valor do ativo reallíquido encontrado no balanço patrimonial e na demonstração das variaçõespatrimoniais no valor de r 300000 e ca ausência de informações no inventárioanalítico dos bens móveis e imóveis do município após as formalidades de estilo pelo arquivamento do processo ausentes justificadamente os excelentíssimossenhores conselheiros antônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira dulcinéa benício de araújorelatorafui presente,7569,02/02/2012
7, acórdão 7571 natureza do processo 13575201090 tce processo 15955200498 tce c01 anexo apensoassunto pedido de revisão da decisão contida no parecer prévio 3822009 e no acórdão 59892009 exarados nos autosdo processo 15955200498 tce c01 anexo prestaçãode contas da prefeitura municipal de porto walter exercício de 2003 responsável senhor wanderley messias salesrelatora conselheira dulcinéa benício de araújopedido de revisão prestação de contas prefeitura municipalconhecimento não provimento manutenção in totum das decisõesrecorridas intimação pessoal do recorrente encaminhamento de cópia daprestação de contas e do presente recurso à câmara municipal de portowalter arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora 1 conhecer dopedido de revisão e no mérito pelo seu não provimento mantendo consequentemente in totum as decisões contidas no acórdão 59892009 e noparecer prévio 3822009 ambas exaradas nos autos do processo n159552004982 intimar pessoalmente o recorrente desta decisão e 3 encaminhar cópia da prestação de contas e também do presente recurso à câmaramunicipal de porto walter para julgamento consoante prevê o art 231 e 2 da constituição estadual de 1989 após as formalidades de estilo peloarquivamento do processo ausentes justificadamente os excelentíssimossenhores conselheiros antônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira dulcinéa benício de araújorelatorafui presente,7571,02/02/2012
8, acórdão 7572 natureza do processo 13893201080 tce processo 15986200498 tce apensoassunto pedido de revisão da decisão contida no acórdão 62212009 exarado nos autos do processo 15986200498 tce prestação de contas da câmaramunicipal de mâncio lima exercício de 2003 responsável senhor wilton gadelha siqueirarelatora conselheira dulcinéa benício de araújopedido de revisão prestação de contas câmara municipal conhecimentoprovimento afastamento da irregularidade afastamento da condenação dogestor intimação pessoal do recorrente arquivamento do processovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora 1 conhecer dopedido de revisão por ser próprio e tempestivo para no mérito darlhe totalprovimento de modo aa considerar regular a prestação de contas da câmaramunicipal de mâncio lima processo 15986200498 relativa ao exercício de2003 baafastar a aplicação da pena de devolução da quantia de r 527904 cinco mil duzentos e setenta e nove reais e quatro centavos bem como da multano valor de r 71400 setecentos e quatorze reais 2 intimar pessoalmente orecorrente do acórdão após as formalidades de estilo pelo arquivamento dosautos ausentes justificadamente os excelentíssimos senhores conselheirosantônio jorge malheiro e antonio cristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira dulcinéa benício de araújorelatorafui presentejoão izidro de melo neto,7572,02/02/2012
9, acórdão 7573 natureza do processo 13980201070 tce c02 volumes e 04 anexosassunto prestação de contas da secretaria de estado da fazenda exercício de 2009 responsável senhor mâncio lima cordeirorelatora conselheira naluh maria lima gouveia dos santosprestação de contas secretaria de estado da fazenda não cumprimentodos prazos para prestar contas dos suprimentos de fundos concedidosconforme exigência do decreto 6853 de 30/12/2002 e suasalterações pelo decreto 1868 de 13/11/2007 regularidadecom ressalva notificação cientificação do apurado desta decisão ao senhorgovernador e ao presidente da assembléia legislativa arquivamento doprocessovistos relatados e discutidos os autos do processo acimaidentificado acordam os membros do à unanimidade nos termos do voto da conselheirarelatora 1 considerar regularcom ressalva a prestação de contas em epígrafe de responsabilidade do senhormâncio lima cordeiro secretário de estado com fulcro no inciso ii do art 51 dalei complementar estadual 3893 valendo como ressalva o não cumprimentodos prazos para prestar contas dos suprimentos de fundos concedidos conformeexigência do decreto 6853 de 30/12/2002 e suas alterações pelodecreto 1868 de 13/11/20072 notificar o gestor para tomarciência da ressalva apontada e corrigila nas próximas edições da matéria casoainda não tenha ocorrido e 3 cientificar o apurado desta decisão ao senhorgovernador do estado e ao presidente da assembleia legislativa após asformalidades de estilo pelo arquivamento do processo ausentes justificadamente os excelentíssimos senhores conselheiros antônio jorge malheiro e antoniocristovão correia demessias rio branco 02/02/2012 conselheiro ronald polanco ribeiropresidente do tceacreconselheira naluh maria lima gouveia dos santosrelatora,7573,02/02/2012
